number,size,id,value,mandate
1,midwest,Bust,40.16,0
2,midwest,Waist,33.59,0
3,midwest,Abdomen,39.37,0
4,midwest,Hip,41.74,0
5,midwest,Center_Length_Front,14.63,1
5,midwest,Center_Length_Back,17.46,1
6,midwest,Full_Length_Front,17.63,1
6,midwest,Full_Length_Back,17.96,1
7,midwest,Shoulder_Slope_Front,17.88,1
7,midwest,Shoulder_Slope_Back,17.71,1
8,midwest,New_Strap,18.13,1
9,midwest,Bust_Depth,10.58,1
9,midwest,Radius,3.0,0
10,midwest,Bust_Span,4.13,1
11,midwest,Side_Length,8.8,1
12,midwest,Back_Neck,2.77,1
13,midwest,Shoulder_Length,4.97,1
14,midwest,Across_Shoulder_Front,7.4,1
14,midwest,Across_Shoulder_Back,7.65,1
15,midwest,Across_Chest,7.3,1
16,midwest,Across_Back,7.09,1
17,midwest,Bust_Arc,10.79,1
18,midwest,Back_Arc,9.29,1
19,midwest,Waist_Arc_Front,8.65,1
19,midwest,Waist_Arc_Back,8.15,1
20,midwest,Dart_Placement_Front,3.0,1
20,midwest,Dart_Placement_Back,3.0,1
22,midwest,Abdomen_Front,9.84,0
22,midwest,Abdomen_Back,9.84,0
23,midwest,Hip_Arc_Front,10.19,1
23,midwest,Hip_Arc_Back,10.69,1
24,midwest,Crotch_Depth,10.4,0
25,midwest,Hip_Depth_Front,6.09,1
25,midwest,Hip_Depth_Back,5.97,1
26,midwest,Side_Hip_Depth,6.22,1
27,midwest,Waist_To_Knee,22.2,1
27,midwest,Waist_To_Ankle,36.94,0
27,midwest,Waist_To_Floor,39.69,0
28,midwest,Crotch_Length,0.0,0
28,midwest,Vertical_Trunk,58.99,0
29,midwest,Upper_Thigh,24.24,0
29,midwest,Mid_Thigh,20.0,0
30,midwest,Knee,15.3,0
31,midwest,Calf,15.05,0
32,midwest,Ankle,10.07,0
32,midwest,Floor_Entry,12.0,0
Sleeve_1,midwest,Sleeve_Length,21.15,1
Sleeve_2,midwest,Cap_Height,4.14,1
Sleeve_3,midwest,Biceps,11.93,1
