number,size,id,value,mandate
1,south,Bust,41.11,0
2,south,Waist,34.7,0
3,south,Abdomen,40.81,0
4,south,Hip,42.85,0
5,south,Center_Length_Front,14.8,1
5,south,Center_Length_Back,17.26,1
6,south,Full_Length_Front,17.8,1
6,south,Full_Length_Back,17.76,1
7,south,Shoulder_Slope_Front,18.05,1
7,south,Shoulder_Slope_Back,17.51,1
8,south,New_Strap,18.3,1
9,south,Bust_Depth,10.84,1
9,south,Radius,3.0,0
10,south,Bust_Span,4.17,1
11,south,Side_Length,8.71,1
12,south,Back_Neck,2.83,1
13,south,Shoulder_Length,5.07,1
14,south,Across_Shoulder_Front,7.56,1
14,south,Across_Shoulder_Back,7.81,1
15,south,Across_Chest,7.43,1
16,south,Across_Back,7.3,1
17,south,Bust_Arc,11.03,1
18,south,Back_Arc,9.53,1
19,south,Waist_Arc_Front,8.93,1
19,south,Waist_Arc_Back,8.43,1
20,south,Dart_Placement_Front,3.0,1
20,south,Dart_Placement_Back,3.0,1
22,south,Abdomen_Front,10.2,0
22,south,Abdomen_Back,10.2,0
23,south,Hip_Arc_Front,10.46,1
23,south,Hip_Arc_Back,10.96,1
24,south,Crotch_Depth,10.71,0
25,south,Hip_Depth_Front,6.28,1
25,south,Hip_Depth_Back,6.15,1
26,south,Side_Hip_Depth,6.4,1
27,south,Waist_To_Knee,22.2,1
27,south,Waist_To_Ankle,37.01,0
27,south,Waist_To_Floor,39.78,0
28,south,Crotch_Length,0.0,0
28,south,Vertical_Trunk,59.76,0
29,south,Upper_Thigh,24.9,0
29,south,Mid_Thigh,20.39,0
30,south,Knee,15.44,0
31,south,Calf,15.08,0
32,south,Ankle,10.01,0
32,south,Floor_Entry,12.0,0
Sleeve_1,south,Sleeve_Length,21.18,1
Sleeve_2,south,Cap_Height,4.17,1
Sleeve_3,south,Biceps,12.35,1
