number,size,id,value,mandate
1,all,Bust,41.31,0
2,all,Waist,37.37,0
3,all,Abdomen,41.72,0
4,all,Hip,43.55,0
5,all,Center_Length_Front,14.97,1
5,all,Center_Length_Back,17.0,1
6,all,Full_Length_Front,17.97,1
6,all,Full_Length_Back,17.5,1
7,all,Shoulder_Slope_Front,18.22,1
7,all,Shoulder_Slope_Back,17.25,1
8,all,New_Strap,18.47,1
9,all,Bust_Depth,11.78,1
9,all,Radius,3.0,0
10,all,Bust_Span,4.28,1
11,all,Side_Length,7.94,1
12,all,Back_Neck,2.82,1
13,all,Shoulder_Length,5.0,1
14,all,Across_Shoulder_Front,7.46,1
14,all,Across_Shoulder_Back,7.71,1
15,all,Across_Chest,7.73,1
16,all,Across_Back,7.39,1
17,all,Bust_Arc,11.08,1
18,all,Back_Arc,9.58,1
19,all,Waist_Arc_Front,9.59,1
19,all,Waist_Arc_Back,9.09,1
20,all,Dart_Placement_Front,3.0,1
20,all,Dart_Placement_Back,3.0,1
22,all,Abdomen_Front,10.43,0
22,all,Abdomen_Back,10.43,0
23,all,Hip_Arc_Front,10.64,1
23,all,Hip_Arc_Back,11.14,1
24,all,Crotch_Depth,10.4,0
25,all,Hip_Depth_Front,8.93,1
25,all,Hip_Depth_Back,8.8,1
26,all,Side_Hip_Depth,9.05,1
27,all,Waist_To_Knee,22.43,1
27,all,Waist_To_Ankle,37.09,0
27,all,Waist_To_Floor,40.01,0
28,all,Crotch_Length,0.0,0
28,all,Vertical_Trunk,64.26,0
29,all,Upper_Thigh,24.39,0
29,all,Mid_Thigh,22.37,0
30,all,Knee,15.27,0
31,all,Calf,15.12,0
32,all,Ankle,10.1,0
32,all,Floor_Entry,12.0,0
Sleeve_1,all,Sleeve_Length,22.98,1
Sleeve_2,all,Cap_Height,6.23,1
Sleeve_3,all,Biceps,12.25,1
