number,size,id,value,mandate
1,midwest,Bust,41.46,0
2,midwest,Waist,38.0,0
3,midwest,Abdomen,42.04,0
4,midwest,Hip,43.77,0
5,midwest,Center_Length_Front,15.06,1
5,midwest,Center_Length_Back,17.21,1
6,midwest,Full_Length_Front,18.06,1
6,midwest,Full_Length_Back,16.21,1
7,midwest,Shoulder_Slope_Front,18.31,1
7,midwest,Shoulder_Slope_Back,15.96,1
8,midwest,New_Strap,18.56,1
9,midwest,Bust_Depth,11.81,1
9,midwest,Radius,3.0,0
10,midwest,Bust_Span,4.25,1
11,midwest,Side_Length,8.0,1
12,midwest,Back_Neck,2.83,1
13,midwest,Shoulder_Length,4.97,1
14,midwest,Across_Shoulder_Front,7.5,1
14,midwest,Across_Shoulder_Back,7.75,1
15,midwest,Across_Chest,7.74,1
16,midwest,Across_Back,7.36,1
17,midwest,Bust_Arc,11.12,1
18,midwest,Back_Arc,9.62,1
19,midwest,Waist_Arc_Front,9.75,1
19,midwest,Waist_Arc_Back,9.25,1
20,midwest,Dart_Placement_Front,3.0,1
20,midwest,Dart_Placement_Back,3.0,1
22,midwest,Abdomen_Front,10.51,0
22,midwest,Abdomen_Back,10.51,0
23,midwest,Hip_Arc_Front,10.69,1
23,midwest,Hip_Arc_Back,11.19,1
24,midwest,Crotch_Depth,10.54,0
25,midwest,Hip_Depth_Front,9.11,1
25,midwest,Hip_Depth_Back,8.98,1
26,midwest,Side_Hip_Depth,9.23,1
27,midwest,Waist_To_Knee,22.5,1
27,midwest,Waist_To_Ankle,37.11,0
27,midwest,Waist_To_Floor,40.03,0
28,midwest,Crotch_Length,0.0,0
28,midwest,Vertical_Trunk,64.48,0
29,midwest,Upper_Thigh,24.43,0
29,midwest,Mid_Thigh,22.34,0
30,midwest,Knee,15.59,0
31,midwest,Calf,15.24,0
32,midwest,Ankle,10.07,0
32,midwest,Floor_Entry,12.0,0
Sleeve_1,midwest,Sleeve_Length,22.92,1
Sleeve_2,midwest,Cap_Height,6.27,1
Sleeve_3,midwest,Biceps,12.4,1
