number,size,id,value,mandate
1,northeast,Bust,41.5,0
2,northeast,Waist,37.45,0
3,northeast,Abdomen,41.89,0
4,northeast,Hip,43.71,0
5,northeast,Center_Length_Front,15.0,1
5,northeast,Center_Length_Back,16.97,1
6,northeast,Full_Length_Front,18.0,1
6,northeast,Full_Length_Back,17.47,1
7,northeast,Shoulder_Slope_Front,18.25,1
7,northeast,Shoulder_Slope_Back,17.22,1
8,northeast,New_Strap,18.5,1
9,northeast,Bust_Depth,11.94,1
9,northeast,Radius,3.0,0
10,northeast,Bust_Span,4.34,1
11,northeast,Side_Length,7.81,1
12,northeast,Back_Neck,2.83,1
13,northeast,Shoulder_Length,4.97,1
14,northeast,Across_Shoulder_Front,7.39,1
14,northeast,Across_Shoulder_Back,7.64,1
15,northeast,Across_Chest,7.75,1
16,northeast,Across_Back,7.38,1
17,northeast,Bust_Arc,11.12,1
18,northeast,Back_Arc,9.62,1
19,northeast,Waist_Arc_Front,9.61,1
19,northeast,Waist_Arc_Back,9.11,1
20,northeast,Dart_Placement_Front,3.0,1
20,northeast,Dart_Placement_Back,3.0,1
22,northeast,Abdomen_Front,10.47,0
22,northeast,Abdomen_Back,10.47,0
23,northeast,Hip_Arc_Front,10.68,1
23,northeast,Hip_Arc_Back,11.18,1
24,northeast,Crotch_Depth,10.37,0
25,northeast,Hip_Depth_Front,8.86,1
25,northeast,Hip_Depth_Back,8.73,1
26,northeast,Side_Hip_Depth,8.98,1
27,northeast,Waist_To_Knee,22.32,1
27,northeast,Waist_To_Ankle,37.04,0
27,northeast,Waist_To_Floor,39.95,0
28,northeast,Crotch_Length,0.0,0
28,northeast,Vertical_Trunk,64.29,0
29,northeast,Upper_Thigh,24.37,0
29,northeast,Mid_Thigh,22.53,0
30,northeast,Knee,15.21,0
31,northeast,Calf,15.12,0
32,northeast,Ankle,10.16,0
32,northeast,Floor_Entry,12.0,0
Sleeve_1,northeast,Sleeve_Length,23.0,1
Sleeve_2,northeast,Cap_Height,6.19,1
Sleeve_3,northeast,Biceps,12.36,1
