number,size,id,value,mandate
1,south,Bust,41.49,0
2,south,Waist,37.51,0
3,south,Abdomen,41.91,0
4,south,Hip,43.67,0
5,south,Center_Length_Front,14.93,1
5,south,Center_Length_Back,16.93,1
6,south,Full_Length_Front,17.93,1
6,south,Full_Length_Back,15.93,1
7,south,Shoulder_Slope_Front,18.18,1
7,south,Shoulder_Slope_Back,15.68,1
8,south,New_Strap,18.43,1
9,south,Bust_Depth,11.83,1
9,south,Radius,3.0,0
10,south,Bust_Span,4.3,1
11,south,Side_Length,7.85,1
12,south,Back_Neck,2.84,1
13,south,Shoulder_Length,5.0,1
14,south,Across_Shoulder_Front,7.45,1
14,south,Across_Shoulder_Back,7.7,1
15,south,Across_Chest,7.74,1
16,south,Across_Back,7.42,1
17,south,Bust_Arc,11.12,1
18,south,Back_Arc,9.62,1
19,south,Waist_Arc_Front,9.63,1
19,south,Waist_Arc_Back,9.13,1
20,south,Dart_Placement_Front,3.0,1
20,south,Dart_Placement_Back,3.0,1
22,south,Abdomen_Front,10.48,0
22,south,Abdomen_Back,10.48,0
23,south,Hip_Arc_Front,10.67,1
23,south,Hip_Arc_Back,11.17,1
24,south,Crotch_Depth,10.33,0
25,south,Hip_Depth_Front,8.88,1
25,south,Hip_Depth_Back,8.75,1
26,south,Side_Hip_Depth,9.0,1
27,south,Waist_To_Knee,22.41,1
27,south,Waist_To_Ankle,37.12,0
27,south,Waist_To_Floor,40.04,0
28,south,Crotch_Length,0.0,0
28,south,Vertical_Trunk,64.21,0
29,south,Upper_Thigh,24.53,0
29,south,Mid_Thigh,22.58,0
30,south,Knee,15.26,0
31,south,Calf,15.12,0
32,south,Ankle,10.12,0
32,south,Floor_Entry,12.0,0
Sleeve_1,south,Sleeve_Length,22.84,1
Sleeve_2,south,Cap_Height,6.21,1
Sleeve_3,south,Biceps,12.27,1
