number,size,id,value,mandate
1,west,Bust,40.76,0
2,west,Waist,36.51,0
3,west,Abdomen,41.0,0
4,west,Hip,43.05,0
5,west,Center_Length_Front,14.93,1
5,west,Center_Length_Back,16.94,1
6,west,Full_Length_Front,17.93,1
6,west,Full_Length_Back,17.44,1
7,west,Shoulder_Slope_Front,18.18,1
7,west,Shoulder_Slope_Back,17.19,1
8,west,New_Strap,18.43,1
9,west,Bust_Depth,11.54,1
9,west,Radius,3.0,0
10,west,Bust_Span,4.22,1
11,west,Side_Length,8.14,1
12,west,Back_Neck,2.78,1
13,west,Shoulder_Length,5.05,1
14,west,Across_Shoulder_Front,7.47,1
14,west,Across_Shoulder_Back,7.72,1
15,west,Across_Chest,7.7,1
16,west,Across_Back,7.4,1
17,west,Bust_Arc,10.94,1
18,west,Back_Arc,9.44,1
19,west,Waist_Arc_Front,9.38,1
19,west,Waist_Arc_Back,8.88,1
20,west,Dart_Placement_Front,3.0,1
20,west,Dart_Placement_Back,3.0,1
22,west,Abdomen_Front,10.25,0
22,west,Abdomen_Back,10.25,0
23,west,Hip_Arc_Front,10.51,1
23,west,Hip_Arc_Back,11.01,1
24,west,Crotch_Depth,10.42,0
25,west,Hip_Depth_Front,8.91,1
25,west,Hip_Depth_Back,8.79,1
26,west,Side_Hip_Depth,9.04,1
27,west,Waist_To_Knee,22.48,1
27,west,Waist_To_Ankle,37.06,0
27,west,Waist_To_Floor,39.98,0
28,west,Crotch_Length,0.0,0
28,west,Vertical_Trunk,64.14,0
29,west,Upper_Thigh,24.12,0
29,west,Mid_Thigh,21.95,0
30,west,Knee,15.01,0
31,west,Calf,15.02,0
32,west,Ankle,10.04,0
32,west,Floor_Entry,12.0,0
Sleeve_1,west,Sleeve_Length,22.75,1
Sleeve_2,west,Cap_Height,6.26,1
Sleeve_3,west,Biceps,12.01,1
